"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|DK1","Without Sequence","27.98","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|DK1","Without Sequence","28.06","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|DK1","Without Sequence","28.44","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|DK1","Without Sequence","28.88","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|DK1","Without Sequence","39.07","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|DK1","Without Sequence","42.94","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|DK1","Without Sequence","36.12","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|DK1","Without Sequence","29.03","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|DK1","Without Sequence","29.75","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|DK1","Without Sequence","29.88","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|DK1","Without Sequence","27.93","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|DK1","Without Sequence","25.21","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|DK1","Without Sequence","25.34","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|DK1","Without Sequence","27.74","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|DK1","Without Sequence","32.11","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|DK1","Without Sequence","29.00","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|DK1","Without Sequence","28.10","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|DK1","Without Sequence","36.17","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|DK1","Without Sequence","46.50","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|DK1","Without Sequence","47.85","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|DK1","Without Sequence","45.68","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|DK1","Without Sequence","43.61","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|DK1","Without Sequence","40.00","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|DK1","Without Sequence","36.17","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|DK1","Without Sequence","32.64","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|DK1","Without Sequence","31.43","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|DK1","Without Sequence","31.10","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|DK1","Without Sequence","32.59","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|DK1","Without Sequence","42.85","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|DK1","Without Sequence","40.72","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|DK1","Without Sequence","28.33","",""
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|DK1","Without Sequence","27.64","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|DK1","Without Sequence","27.55","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|DK1","Without Sequence","26.90","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|DK1","Without Sequence","26.41","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|DK1","Without Sequence","26.07","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|DK1","Without Sequence","26.01","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|DK1","Without Sequence","25.81","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|DK1","Without Sequence","25.89","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|DK1","Without Sequence","26.20","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|DK1","Without Sequence","26.95","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|DK1","Without Sequence","28.95","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|DK1","Without Sequence","43.29","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|DK1","Without Sequence","47.40","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|DK1","Without Sequence","40.63","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|DK1","Without Sequence","36.26","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|DK1","Without Sequence","32.05","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|DK1","Without Sequence","28.64","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|DK1","Without Sequence","28.45","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|DK1","Without Sequence","28.23","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|DK1","Without Sequence","28.85","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|DK1","Without Sequence","35.55","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|DK1","Without Sequence","43.92","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|DK1","Without Sequence","45.61","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|DK1","Without Sequence","30.01","",""
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|DK1","Without Sequence","27.60","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|DK1","Without Sequence","35.58","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|DK1","Without Sequence","36.34","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|DK1","Without Sequence","26.07","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|DK1","Without Sequence","35.01","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|DK1","Without Sequence","34.00","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|DK1","Without Sequence","26.15","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|DK1","Without Sequence","25.75","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|DK1","Without Sequence","25.41","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|DK1","Without Sequence","25.32","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|DK1","Without Sequence","25.46","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|DK1","Without Sequence","25.41","",""
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|DK1","Without Sequence","25.67","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|DK1","Without Sequence","25.93","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|DK1","Without Sequence","25.85","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|DK1","Without Sequence","25.54","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|DK1","Without Sequence","25.19","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|DK1","Without Sequence","25.01","",""
"11/01/2020 14:00:00 - 11/01/2020 15:00:00","BZN|DK1","Without Sequence","24.87","",""
"11/01/2020 15:00:00 - 11/01/2020 16:00:00","BZN|DK1","Without Sequence","25.17","",""
"11/01/2020 16:00:00 - 11/01/2020 17:00:00","BZN|DK1","Without Sequence","25.55","",""
"11/01/2020 17:00:00 - 11/01/2020 18:00:00","BZN|DK1","Without Sequence","25.65","",""
"11/01/2020 18:00:00 - 11/01/2020 19:00:00","BZN|DK1","Without Sequence","25.42","",""
"11/01/2020 19:00:00 - 11/01/2020 20:00:00","BZN|DK1","Without Sequence","24.78","",""
"11/01/2020 20:00:00 - 11/01/2020 21:00:00","BZN|DK1","Without Sequence","24.11","",""
"11/01/2020 21:00:00 - 11/01/2020 22:00:00","BZN|DK1","Without Sequence","23.16","",""
"11/01/2020 22:00:00 - 11/01/2020 23:00:00","BZN|DK1","Without Sequence","21.33","",""
"11/01/2020 23:00:00 - 12/01/2020 00:00:00","BZN|DK1","Without Sequence","19.31","",""
"12/01/2020 00:00:00 - 12/01/2020 01:00:00","BZN|DK1","Without Sequence","20.11","",""
"12/01/2020 01:00:00 - 12/01/2020 02:00:00","BZN|DK1","Without Sequence","19.37","",""
"12/01/2020 02:00:00 - 12/01/2020 03:00:00","BZN|DK1","Without Sequence","18.36","",""
"12/01/2020 03:00:00 - 12/01/2020 04:00:00","BZN|DK1","Without Sequence","18.34","",""
"12/01/2020 04:00:00 - 12/01/2020 05:00:00","BZN|DK1","Without Sequence","18.16","",""
"12/01/2020 05:00:00 - 12/01/2020 06:00:00","BZN|DK1","Without Sequence","18.66","",""
"12/01/2020 06:00:00 - 12/01/2020 07:00:00","BZN|DK1","Without Sequence","17.39","",""
