"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","Without Sequence","33.42","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","Without Sequence","31.77","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","Without Sequence","31.57","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","Without Sequence","31.28","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DK1","Without Sequence","30.85","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|DK1","Without Sequence","30.14","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|DK1","Without Sequence","30.17","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|DK1","Without Sequence","30.00","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|DK1","Without Sequence","30.63","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|DK1","Without Sequence","30.59","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|DK1","Without Sequence","30.27","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|DK1","Without Sequence","30.34","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|DK1","Without Sequence","30.59","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|DK1","Without Sequence","30.04","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|DK1","Without Sequence","30.60","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|DK1","Without Sequence","31.09","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|DK1","Without Sequence","31.53","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|DK1","Without Sequence","31.78","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|DK1","Without Sequence","31.64","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|DK1","Without Sequence","31.44","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|DK1","Without Sequence","31.35","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|DK1","Without Sequence","31.07","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|DK1","Without Sequence","30.96","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|DK1","Without Sequence","30.61","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|DK1","Without Sequence","30.78","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|DK1","Without Sequence","30.64","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|DK1","Without Sequence","30.43","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|DK1","Without Sequence","28.79","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|DK1","Without Sequence","28.42","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|DK1","Without Sequence","28.75","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|DK1","Without Sequence","33.38","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|DK1","Without Sequence","31.79","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|DK1","Without Sequence","31.83","",""
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|DK1","Without Sequence","31.74","",""
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|DK1","Without Sequence","31.63","",""
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|DK1","Without Sequence","31.32","",""
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|DK1","Without Sequence","31.07","",""
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|DK1","Without Sequence","31.06","",""
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|DK1","Without Sequence","31.07","",""
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|DK1","Without Sequence","31.26","",""
"02/01/2020 16:00:00 - 02/01/2020 17:00:00","BZN|DK1","Without Sequence","31.41","",""
"02/01/2020 17:00:00 - 02/01/2020 18:00:00","BZN|DK1","Without Sequence","31.40","",""
"02/01/2020 18:00:00 - 02/01/2020 19:00:00","BZN|DK1","Without Sequence","31.10","",""
"02/01/2020 19:00:00 - 02/01/2020 20:00:00","BZN|DK1","Without Sequence","30.75","",""
"02/01/2020 20:00:00 - 02/01/2020 21:00:00","BZN|DK1","Without Sequence","30.47","",""
"02/01/2020 21:00:00 - 02/01/2020 22:00:00","BZN|DK1","Without Sequence","30.10","",""
"02/01/2020 22:00:00 - 02/01/2020 23:00:00","BZN|DK1","Without Sequence","29.71","",""
"02/01/2020 23:00:00 - 03/01/2020 00:00:00","BZN|DK1","Without Sequence","24.99","",""
"03/01/2020 00:00:00 - 03/01/2020 01:00:00","BZN|DK1","Without Sequence","18.93","",""
"03/01/2020 01:00:00 - 03/01/2020 02:00:00","BZN|DK1","Without Sequence","9.98","",""
"03/01/2020 02:00:00 - 03/01/2020 03:00:00","BZN|DK1","Without Sequence","1.53","",""
"03/01/2020 03:00:00 - 03/01/2020 04:00:00","BZN|DK1","Without Sequence","0.14","",""
"03/01/2020 04:00:00 - 03/01/2020 05:00:00","BZN|DK1","Without Sequence","0.85","",""
"03/01/2020 05:00:00 - 03/01/2020 06:00:00","BZN|DK1","Without Sequence","9.92","",""
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|DK1","Without Sequence","24.48","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|DK1","Without Sequence","26.68","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|DK1","Without Sequence","28.81","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|DK1","Without Sequence","29.28","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|DK1","Without Sequence","28.85","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|DK1","Without Sequence","31.80","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|DK1","Without Sequence","30.39","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|DK1","Without Sequence","30.24","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|DK1","Without Sequence","30.19","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|DK1","Without Sequence","30.40","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|DK1","Without Sequence","30.48","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|DK1","Without Sequence","30.44","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|DK1","Without Sequence","30.16","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|DK1","Without Sequence","29.83","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|DK1","Without Sequence","28.89","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|DK1","Without Sequence","27.70","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|DK1","Without Sequence","25.70","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|DK1","Without Sequence","22.04","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|DK1","Without Sequence","21.73","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|DK1","Without Sequence","15.95","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|DK1","Without Sequence","16.23","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|DK1","Without Sequence","6.45","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|DK1","Without Sequence","3.83","",""
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|DK1","Without Sequence","0.12","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|DK1","Without Sequence","0.07","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|DK1","Without Sequence","19.07","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|DK1","Without Sequence","17.49","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|DK1","Without Sequence","23.98","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|DK1","Without Sequence","8.80","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|DK1","Without Sequence","17.95","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|DK1","Without Sequence","19.50","",""
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|DK1","Without Sequence","13.74","",""
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|DK1","Without Sequence","17.42","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|DK1","Without Sequence","20.38","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|DK1","Without Sequence","25.08","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|DK1","Without Sequence","28.88","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|DK1","Without Sequence","32.02","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|DK1","Without Sequence","35.35","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|DK1","Without Sequence","29.98","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|DK1","Without Sequence","30.05","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|DK1","Without Sequence","30.09","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|DK1","Without Sequence","37.95","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|DK1","Without Sequence","33.10","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|DK1","Without Sequence","32.28","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|DK1","Without Sequence","31.18","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|DK1","Without Sequence","30.10","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|DK1","Without Sequence","29.96","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|DK1","Without Sequence","29.88","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|DK1","Without Sequence","30.38","",""
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|DK1","Without Sequence","31.15","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|DK1","Without Sequence","32.09","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|DK1","Without Sequence","31.18","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|DK1","Without Sequence","31.60","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|DK1","Without Sequence","31.55","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|DK1","Without Sequence","31.22","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|DK1","Without Sequence","30.93","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|DK1","Without Sequence","30.67","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|DK1","Without Sequence","30.79","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|DK1","Without Sequence","31.16","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|DK1","Without Sequence","31.53","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|DK1","Without Sequence","31.10","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|DK1","Without Sequence","30.42","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|DK1","Without Sequence","29.87","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|DK1","Without Sequence","29.61","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|DK1","Without Sequence","29.46","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|DK1","Without Sequence","26.68","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|DK1","Without Sequence","29.16","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|DK1","Without Sequence","29.00","",""
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|DK1","Without Sequence","29.08","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|DK1","Without Sequence","27.72","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|DK1","Without Sequence","27.03","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|DK1","Without Sequence","27.62","",""
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|DK1","Without Sequence","33.18","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|DK1","Without Sequence","34.21","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|DK1","Without Sequence","35.75","",""
"06/01/2020 09:00:00 - 06/01/2020 10:00:00","BZN|DK1","Without Sequence","32.52","",""
"06/01/2020 10:00:00 - 06/01/2020 11:00:00","BZN|DK1","Without Sequence","32.01","",""
"06/01/2020 11:00:00 - 06/01/2020 12:00:00","BZN|DK1","Without Sequence","31.23","",""
"06/01/2020 12:00:00 - 06/01/2020 13:00:00","BZN|DK1","Without Sequence","31.19","",""
"06/01/2020 13:00:00 - 06/01/2020 14:00:00","BZN|DK1","Without Sequence","31.08","",""
"06/01/2020 14:00:00 - 06/01/2020 15:00:00","BZN|DK1","Without Sequence","31.21","",""
"06/01/2020 15:00:00 - 06/01/2020 16:00:00","BZN|DK1","Without Sequence","31.30","",""
"06/01/2020 16:00:00 - 06/01/2020 17:00:00","BZN|DK1","Without Sequence","33.58","",""
"06/01/2020 17:00:00 - 06/01/2020 18:00:00","BZN|DK1","Without Sequence","34.05","",""
"06/01/2020 18:00:00 - 06/01/2020 19:00:00","BZN|DK1","Without Sequence","31.31","",""
"06/01/2020 19:00:00 - 06/01/2020 20:00:00","BZN|DK1","Without Sequence","30.95","",""
"06/01/2020 20:00:00 - 06/01/2020 21:00:00","BZN|DK1","Without Sequence","30.58","",""
"06/01/2020 21:00:00 - 06/01/2020 22:00:00","BZN|DK1","Without Sequence","30.28","",""
"06/01/2020 22:00:00 - 06/01/2020 23:00:00","BZN|DK1","Without Sequence","29.46","",""
"06/01/2020 23:00:00 - 07/01/2020 00:00:00","BZN|DK1","Without Sequence","29.07","",""
"07/01/2020 00:00:00 - 07/01/2020 01:00:00","BZN|DK1","Without Sequence","28.28","",""
"07/01/2020 01:00:00 - 07/01/2020 02:00:00","BZN|DK1","Without Sequence","28.34","",""
"07/01/2020 02:00:00 - 07/01/2020 03:00:00","BZN|DK1","Without Sequence","28.47","",""
"07/01/2020 03:00:00 - 07/01/2020 04:00:00","BZN|DK1","Without Sequence","28.11","",""
"07/01/2020 04:00:00 - 07/01/2020 05:00:00","BZN|DK1","Without Sequence","28.70","",""
"07/01/2020 05:00:00 - 07/01/2020 06:00:00","BZN|DK1","Without Sequence","28.80","",""
"07/01/2020 06:00:00 - 07/01/2020 07:00:00","BZN|DK1","Without Sequence","30.62","",""
"07/01/2020 07:00:00 - 07/01/2020 08:00:00","BZN|DK1","Without Sequence","37.60","",""
"07/01/2020 08:00:00 - 07/01/2020 09:00:00","BZN|DK1","Without Sequence","46.99","",""
"07/01/2020 09:00:00 - 07/01/2020 10:00:00","BZN|DK1","Without Sequence","47.07","",""
"07/01/2020 10:00:00 - 07/01/2020 11:00:00","BZN|DK1","Without Sequence","47.06","",""
"07/01/2020 11:00:00 - 07/01/2020 12:00:00","BZN|DK1","Without Sequence","46.98","",""
"07/01/2020 12:00:00 - 07/01/2020 13:00:00","BZN|DK1","Without Sequence","42.03","",""
"07/01/2020 13:00:00 - 07/01/2020 14:00:00","BZN|DK1","Without Sequence","42.37","",""
"07/01/2020 14:00:00 - 07/01/2020 15:00:00","BZN|DK1","Without Sequence","33.05","",""
"07/01/2020 15:00:00 - 07/01/2020 16:00:00","BZN|DK1","Without Sequence","30.84","",""
"07/01/2020 16:00:00 - 07/01/2020 17:00:00","BZN|DK1","Without Sequence","30.71","",""
"07/01/2020 17:00:00 - 07/01/2020 18:00:00","BZN|DK1","Without Sequence","30.54","",""
"07/01/2020 18:00:00 - 07/01/2020 19:00:00","BZN|DK1","Without Sequence","30.18","",""
"07/01/2020 19:00:00 - 07/01/2020 20:00:00","BZN|DK1","Without Sequence","29.46","",""
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|DK1","Without Sequence","28.63","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|DK1","Without Sequence","27.98","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|DK1","Without Sequence","26.93","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|DK1","Without Sequence","24.21","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|DK1","Without Sequence","18.95","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|DK1","Without Sequence","4.96","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|DK1","Without Sequence","0.10","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|DK1","Without Sequence","0.11","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|DK1","Without Sequence","1.75","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|DK1","Without Sequence","20.74","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|DK1","Without Sequence","25.57","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|DK1","Without Sequence","26.99","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|DK1","Without Sequence","27.34","",""
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|DK1","Without Sequence","27.92","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|DK1","Without Sequence","28.03","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|DK1","Without Sequence","28.02","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|DK1","Without Sequence","28.00","",""
