"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","Without Sequence","2.01","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","Without Sequence","1.38","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK1","Without Sequence","0.09","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|DK1","Without Sequence","0.08","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|DK1","Without Sequence","0.05","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|DK1","Without Sequence","0.00","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|DK1","Without Sequence","-0.38","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|DK1","Without Sequence","0.00","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|DK1","Without Sequence","0.00","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|DK1","Without Sequence","0.04","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|DK1","Without Sequence","0.80","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|DK1","Without Sequence","0.08","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|DK1","Without Sequence","0.04","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|DK1","Without Sequence","0.00","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|DK1","Without Sequence","0.85","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|DK1","Without Sequence","23.53","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|DK1","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|DK1","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|DK1","Without Sequence","55.57","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|DK1","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|DK1","Without Sequence","49.23","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|DK1","Without Sequence","44.99","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|DK1","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|DK1","Without Sequence","35.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|DK1","Without Sequence","57.91","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|DK1","Without Sequence","51.67","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|DK1","Without Sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|DK1","Without Sequence","44.16","",""
