"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","Without Sequence","50.05","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","Without Sequence","41.33","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DK1","Without Sequence","43.22","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DK1","Without Sequence","45.46","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DK1","Without Sequence","37.67","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DK1","Without Sequence","39.70","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|DK1","Without Sequence","40.59","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|DK1","Without Sequence","43.26","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|DK1","Without Sequence","49.66","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|DK1","Without Sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|DK1","Without Sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|DK1","Without Sequence","84.10","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|DK1","Without Sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|DK1","Without Sequence","96.80","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|DK1","Without Sequence","97.17","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|DK1","Without Sequence","101.27","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|DK1","Without Sequence","126.60","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|DK1","Without Sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|DK1","Without Sequence","146.33","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|DK1","Without Sequence","140.28","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|DK1","Without Sequence","121.88","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|DK1","Without Sequence","102.61","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|DK1","Without Sequence","95.12","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|DK1","Without Sequence","83.11","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|DK1","Without Sequence","57.08","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|DK1","Without Sequence","52.59","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|DK1","Without Sequence","48.97","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|DK1","Without Sequence","34.94","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|DK1","Without Sequence","29.56","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|DK1","Without Sequence","33.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|DK1","Without Sequence","34.52","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|DK1","Without Sequence","41.80","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|DK1","Without Sequence","48.95","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|DK1","Without Sequence","60.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|DK1","Without Sequence","70.09","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|DK1","Without Sequence","66.26","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|DK1","Without Sequence","64.54","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|DK1","Without Sequence","46.96","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|DK1","Without Sequence","49.06","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|DK1","Without Sequence","74.99","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|DK1","Without Sequence","88.15","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|DK1","Without Sequence","95.40","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|DK1","Without Sequence","87.84","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|DK1","Without Sequence","71.27","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|DK1","Without Sequence","54.12","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|DK1","Without Sequence","46.16","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|DK1","Without Sequence","46.29","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|DK1","Without Sequence","32.93","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|DK1","Without Sequence","13.20","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|DK1","Without Sequence","19.92","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|DK1","Without Sequence","19.87","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|DK1","Without Sequence","13.24","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|DK1","Without Sequence","0.10","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|DK1","Without Sequence","0.32","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|DK1","Without Sequence","37.55","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|DK1","Without Sequence","88.76","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|DK1","Without Sequence","122.93","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|DK1","Without Sequence","110.17","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|DK1","Without Sequence","93.38","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|DK1","Without Sequence","90.73","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|DK1","Without Sequence","82.37","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|DK1","Without Sequence","80.90","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|DK1","Without Sequence","80.99","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|DK1","Without Sequence","98.05","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|DK1","Without Sequence","120.55","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|DK1","Without Sequence","139.57","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|DK1","Without Sequence","134.69","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|DK1","Without Sequence","114.82","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|DK1","Without Sequence","117.71","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|DK1","Without Sequence","95.95","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|DK1","Without Sequence","105.68","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|DK1","Without Sequence","95.26","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|DK1","Without Sequence","103.70","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|DK1","Without Sequence","108.27","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|DK1","Without Sequence","105.92","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|DK1","Without Sequence","103.41","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|DK1","Without Sequence","102.71","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|DK1","Without Sequence","114.23","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|DK1","Without Sequence","130.17","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|DK1","Without Sequence","182.64","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|DK1","Without Sequence","174.61","",""
