"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","Without Sequence","16.99","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","Without Sequence","28.14","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DK1","Without Sequence","26.66","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DK1","Without Sequence","4.14","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DK1","Without Sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DK1","Without Sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DK1","Without Sequence","-0.05","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DK1","Without Sequence","-0.02","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DK1","Without Sequence","0.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DK1","Without Sequence","0.08","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DK1","Without Sequence","41.34","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DK1","Without Sequence","43.51","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DK1","Without Sequence","43.02","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DK1","Without Sequence","44.29","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DK1","Without Sequence","46.24","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|DK1","Without Sequence","50.61","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|DK1","Without Sequence","59.47","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|DK1","Without Sequence","64.99","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|DK1","Without Sequence","61.74","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|DK1","Without Sequence","61.27","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|DK1","Without Sequence","59.97","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|DK1","Without Sequence","54.92","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|DK1","Without Sequence","47.65","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|DK1","Without Sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|DK1","Without Sequence","30.59","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|DK1","Without Sequence","20.07","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|DK1","Without Sequence","31.03","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|DK1","Without Sequence","18.39","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|DK1","Without Sequence","11.08","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|DK1","Without Sequence","13.78","",""
