"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|DK2","Without Sequence","118.04","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|DK2","Without Sequence","122.61","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|DK2","Without Sequence","65.62","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|DK2","Without Sequence","60.98","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|DK2","Without Sequence","60.31","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|DK2","Without Sequence","69.40","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|DK2","Without Sequence","48.89","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|DK2","Without Sequence","75.13","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|DK2","Without Sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|DK2","Without Sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|DK2","Without Sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|DK2","Without Sequence","47.34","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|DK2","Without Sequence","68.99","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|DK2","Without Sequence","107.13","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|DK2","Without Sequence","160.00","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|DK2","Without Sequence","180.00","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|DK2","Without Sequence","177.14","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|DK2","Without Sequence","159.07","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|DK2","Without Sequence","160.57","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|DK2","Without Sequence","140.56","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|DK2","Without Sequence","137.67","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|DK2","Without Sequence","143.57","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|DK2","Without Sequence","151.02","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|DK2","Without Sequence","161.96","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|DK2","Without Sequence","174.34","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|DK2","Without Sequence","182.18","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|DK2","Without Sequence","157.70","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|DK2","Without Sequence","145.07","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|DK2","Without Sequence","134.62","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|DK2","Without Sequence","83.84","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|DK2","Without Sequence","80.59","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|DK2","Without Sequence","106.02","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|DK2","Without Sequence","96.71","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|DK2","Without Sequence","95.14","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|DK2","Without Sequence","90.36","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|DK2","Without Sequence","95.61","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|DK2","Without Sequence","91.02","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|DK2","Without Sequence","134.81","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|DK2","Without Sequence","154.73","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|DK2","Without Sequence","165.33","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|DK2","Without Sequence","156.57","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|DK2","Without Sequence","151.02","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|DK2","Without Sequence","142.94","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|DK2","Without Sequence","140.07","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|DK2","Without Sequence","139.97","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|DK2","Without Sequence","141.92","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|DK2","Without Sequence","142.42","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|DK2","Without Sequence","139.31","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|DK2","Without Sequence","146.34","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|DK2","Without Sequence","137.08","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|DK2","Without Sequence","121.46","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|DK2","Without Sequence","105.64","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|DK2","Without Sequence","86.53","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|DK2","Without Sequence","79.35","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|DK2","Without Sequence","44.91","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|DK2","Without Sequence","42.03","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|DK2","Without Sequence","27.73","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|DK2","Without Sequence","25.17","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|DK2","Without Sequence","22.57","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|DK2","Without Sequence","25.49","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|DK2","Without Sequence","26.60","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|DK2","Without Sequence","48.54","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|DK2","Without Sequence","71.49","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|DK2","Without Sequence","72.71","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|DK2","Without Sequence","69.96","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|DK2","Without Sequence","68.89","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|DK2","Without Sequence","69.29","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|DK2","Without Sequence","68.86","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|DK2","Without Sequence","66.80","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|DK2","Without Sequence","69.52","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|DK2","Without Sequence","75.91","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|DK2","Without Sequence","119.20","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|DK2","Without Sequence","128.28","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|DK2","Without Sequence","106.48","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|DK2","Without Sequence","67.99","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|DK2","Without Sequence","65.16","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|DK2","Without Sequence","60.01","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|DK2","Without Sequence","49.91","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|DK2","Without Sequence","43.32","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|DK2","Without Sequence","19.88","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|DK2","Without Sequence","5.55","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|DK2","Without Sequence","4.69","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|DK2","Without Sequence","0.10","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|DK2","Without Sequence","2.73","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|DK2","Without Sequence","24.94","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|DK2","Without Sequence","36.01","",""
