"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK2","Without Sequence","2.01","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK2","Without Sequence","1.38","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK2","Without Sequence","0.09","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|DK2","Without Sequence","0.08","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|DK2","Without Sequence","0.05","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|DK2","Without Sequence","0.08","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|DK2","Without Sequence","0.09","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|DK2","Without Sequence","0.53","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|DK2","Without Sequence","2.03","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|DK2","Without Sequence","3.10","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|DK2","Without Sequence","4.43","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|DK2","Without Sequence","6.06","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|DK2","Without Sequence","6.06","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|DK2","Without Sequence","5.68","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|DK2","Without Sequence","17.71","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|DK2","Without Sequence","24.11","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|DK2","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|DK2","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|DK2","Without Sequence","55.57","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|DK2","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|DK2","Without Sequence","49.23","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|DK2","Without Sequence","44.99","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|DK2","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|DK2","Without Sequence","35.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|DK2","Without Sequence","57.91","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|DK2","Without Sequence","51.67","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|DK2","Without Sequence","52.86","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|DK2","Without Sequence","44.16","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|DK2","Without Sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|DK2","Without Sequence","70.73","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|DK2","Without Sequence","104.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|DK2","Without Sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|DK2","Without Sequence","145.98","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|DK2","Without Sequence","147.05","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|DK2","Without Sequence","145.61","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|DK2","Without Sequence","143.35","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|DK2","Without Sequence","144.38","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|DK2","Without Sequence","143.76","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|DK2","Without Sequence","148.20","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|DK2","Without Sequence","155.34","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|DK2","Without Sequence","162.89","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|DK2","Without Sequence","170.00","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|DK2","Without Sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|DK2","Without Sequence","164.46","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|DK2","Without Sequence","153.00","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|DK2","Without Sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|DK2","Without Sequence","131.67","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|DK2","Without Sequence","118.06","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|DK2","Without Sequence","78.81","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|DK2","Without Sequence","73.93","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|DK2","Without Sequence","73.94","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|DK2","Without Sequence","71.44","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|DK2","Without Sequence","72.33","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|DK2","Without Sequence","77.14","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|DK2","Without Sequence","102.48","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|DK2","Without Sequence","154.96","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|DK2","Without Sequence","163.92","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|DK2","Without Sequence","167.07","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|DK2","Without Sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|DK2","Without Sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|DK2","Without Sequence","164.50","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|DK2","Without Sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|DK2","Without Sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|DK2","Without Sequence","167.73","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|DK2","Without Sequence","166.61","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|DK2","Without Sequence","170.72","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|DK2","Without Sequence","168.93","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|DK2","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|DK2","Without Sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|DK2","Without Sequence","131.05","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|DK2","Without Sequence","114.27","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|DK2","Without Sequence","93.66","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|DK2","Without Sequence","82.88","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|DK2","Without Sequence","78.84","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|DK2","Without Sequence","69.93","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|DK2","Without Sequence","69.26","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|DK2","Without Sequence","71.75","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|DK2","Without Sequence","81.73","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|DK2","Without Sequence","80.11","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|DK2","Without Sequence","83.33","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|DK2","Without Sequence","86.27","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|DK2","Without Sequence","85.37","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|DK2","Without Sequence","75.95","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|DK2","Without Sequence","81.71","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|DK2","Without Sequence","80.89","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|DK2","Without Sequence","79.72","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|DK2","Without Sequence","80.22","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|DK2","Without Sequence","79.74","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|DK2","Without Sequence","80.82","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|DK2","Without Sequence","86.16","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|DK2","Without Sequence","72.28","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|DK2","Without Sequence","66.61","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|DK2","Without Sequence","62.13","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|DK2","Without Sequence","57.26","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|DK2","Without Sequence","37.94","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|DK2","Without Sequence","30.82","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|DK2","Without Sequence","30.03","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|DK2","Without Sequence","28.15","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|DK2","Without Sequence","27.68","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|DK2","Without Sequence","27.76","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|DK2","Without Sequence","28.63","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|DK2","Without Sequence","17.73","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|DK2","Without Sequence","62.70","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|DK2","Without Sequence","85.53","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|DK2","Without Sequence","93.54","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|DK2","Without Sequence","107.92","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|DK2","Without Sequence","128.75","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|DK2","Without Sequence","139.64","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|DK2","Without Sequence","139.99","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|DK2","Without Sequence","142.58","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|DK2","Without Sequence","149.40","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|DK2","Without Sequence","155.20","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|DK2","Without Sequence","172.73","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|DK2","Without Sequence","194.70","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|DK2","Without Sequence","194.67","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|DK2","Without Sequence","177.98","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|DK2","Without Sequence","163.99","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|DK2","Without Sequence","152.00","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|DK2","Without Sequence","144.64","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|DK2","Without Sequence","127.00","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|DK2","Without Sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|DK2","Without Sequence","101.10","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|DK2","Without Sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|DK2","Without Sequence","82.34","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|DK2","Without Sequence","81.93","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|DK2","Without Sequence","84.03","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|DK2","Without Sequence","97.25","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|DK2","Without Sequence","103.95","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|DK2","Without Sequence","108.51","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|DK2","Without Sequence","109.92","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|DK2","Without Sequence","110.14","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|DK2","Without Sequence","110.65","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|DK2","Without Sequence","109.91","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|DK2","Without Sequence","101.09","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|DK2","Without Sequence","113.06","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|DK2","Without Sequence","122.81","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|DK2","Without Sequence","135.62","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|DK2","Without Sequence","150.72","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|DK2","Without Sequence","142.11","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|DK2","Without Sequence","119.92","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|DK2","Without Sequence","107.22","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|DK2","Without Sequence","101.02","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|DK2","Without Sequence","74.25","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|DK2","Without Sequence","94.80","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|DK2","Without Sequence","71.67","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|DK2","Without Sequence","69.93","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|DK2","Without Sequence","96.05","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|DK2","Without Sequence","87.97","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|DK2","Without Sequence","82.99","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|DK2","Without Sequence","83.59","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|DK2","Without Sequence","90.76","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|DK2","Without Sequence","103.21","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|DK2","Without Sequence","111.86","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|DK2","Without Sequence","112.00","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|DK2","Without Sequence","100.00","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|DK2","Without Sequence","88.32","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|DK2","Without Sequence","87.90","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|DK2","Without Sequence","91.79","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|DK2","Without Sequence","80.51","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|DK2","Without Sequence","78.94","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|DK2","Without Sequence","79.93","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|DK2","Without Sequence","78.68","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|DK2","Without Sequence","78.38","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|DK2","Without Sequence","74.39","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|DK2","Without Sequence","66.98","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|DK2","Without Sequence","59.99","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|DK2","Without Sequence","48.80","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|DK2","Without Sequence","35.90","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|DK2","Without Sequence","24.44","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|DK2","Without Sequence","9.30","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|DK2","Without Sequence","9.10","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|DK2","Without Sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|DK2","Without Sequence","5.58","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|DK2","Without Sequence","9.92","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|DK2","Without Sequence","9.02","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|DK2","Without Sequence","16.47","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|DK2","Without Sequence","27.08","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|DK2","Without Sequence","29.08","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|DK2","Without Sequence","35.22","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|DK2","Without Sequence","70.19","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|DK2","Without Sequence","49.08","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|DK2","Without Sequence","65.13","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|DK2","Without Sequence","62.19","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|DK2","Without Sequence","63.49","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|DK2","Without Sequence","86.29","",""
